Chinese name,scientific name,first flowering month,last flowering month,first fruiting month,last fruiting month,family name,scientific name,Genus name,woodiness
Ó£ÌÒÈÌ¶¬,Lonicera fragrantissima subsp. phyllocarpa,3,4,4,6,Caprifoliaceae,Lonicera fragrantissima subsp. phyllocarpa,Lonicera,WD
¿àÌÇ¹û,Lonicera fragrantissima subsp. standishii,1,4,5,6,Caprifoliaceae,Lonicera fragrantissima subsp. standishii,Lonicera,WD
Èï±»ÈÌ¶¬,Lonicera gynochlamydea,5,5,8,9,Caprifoliaceae,Lonicera gynochlamydea,Lonicera,WD
µ¹ÂÑÒ¶ÈÌ¶¬,Lonicera hemsleyana,4,4,6,6,Caprifoliaceae,Lonicera hemsleyana,Lonicera,WD
İÔÏÙÈÌ¶¬,Lonicera hypoglauca,4,5,10,11,Caprifoliaceae,Lonicera hypoglauca,Lonicera,WD
°×±³ÈÌ¶¬,Lonicera hypoleuca,6,7,NA,NA,Caprifoliaceae,NA,NA,NA
ºì°×ÈÌ¶¬,Lonicera japonica var. chinensis,NA,NA,NA,NA,Caprifoliaceae,Lonicera japonica var. chinensis,Lonicera,WD
¹âÖ¦ÁøÒ¶ÈÌ¶¬,Lonicera lanceolata var. glabra,NA,NA,NA,NA,Caprifoliaceae,Lonicera lanceolata var. glabra,Lonicera,WD
½ğÒøÈÌ¶¬,Lonicera maackii,5,6,8,10,Caprifoliaceae,Lonicera maackii,Lonicera,WD
ºì»¨½ğÒøÈÌ¶¬,Lonicera maackii var. erubescens,NA,NA,NA,NA,Caprifoliaceae,Lonicera maackii var. erubescens,Lonicera,WD
»ÒÕ±Ã«ÈÌ¶¬,Lonicera macranthoides,6,6,10,11,Caprifoliaceae,Lonicera macranthoides,Lonicera,WD
ÏÂ½­ÈÌ¶¬,Lonicera modesta,5,5,9,10,Caprifoliaceae,Lonicera modesta,Lonicera,WD
Â®É½ÈÌ¶¬,Lonicera modesta var. lushanensis,NA,NA,NA,NA,Caprifoliaceae,Lonicera modesta var. lushanensis,Lonicera,WD
¶Ì±úÈÌ¶¬,Lonicera pampaninii,5,6,10,11,Caprifoliaceae,Lonicera pampaninii,Lonicera,WD
»ª±±ÈÌ¶¬,Lonicera tatarinowii,5,6,8,9,Caprifoliaceae,Lonicera tatarinowii,Lonicera,WD
ÅÌÒ¶ÈÌ¶¬,Lonicera tragophylla,6,7,9,10,Caprifoliaceae,Lonicera tragophylla,Lonicera,WD
Ã«İàÈÌ¶¬,Lonicera trichosepala,6,7,10,10,Caprifoliaceae,Lonicera trichosepala,Lonicera,WD
µ­ÖñÒ¶,Lophatherum gracile,6,10,6,10,Poaceae,Lophatherum gracile,Lophatherum,CB
ÖĞ»ªµ­ÖñÒ¶,Lophatherum sinense,8,10,8,10,Poaceae,Lophatherum sinense,Lophatherum,CB
™‹Ä¾,Loropetalum chinense,3,4,NA,NA,Hamamelidaceae,Loropetalum chinense,Loropetalum,WD
Ë®Áú,Ludwigia adscendens,5,8,8,11,Onagraceae,Ludwigia adscendens,Ludwigia,CB
¼ÙÁøÒ¶²Ë,Ludwigia epilobioides,8,10,9,11,Onagraceae,Ludwigia epilobiloides,Ludwigia,CB
ÂÑÒ¶¶¡ÏãŞ¤,Ludwigia ovalis,7,8,8,9,Onagraceae,Ludwigia ovalis,Ludwigia,CB
¶¡ÏãŞ¤,Ludwigia prostrata,6,7,8,9,Onagraceae,NA,NA,NA
µØÑîÃ·,Luzula campestris,5,6,6,7,Juncaceae,Luzula campestris,Luzula,CB
¶à»¨µØÑîÃ·,Luzula multiflora,5,7,7,8,Juncaceae,Luzula multiflora,Luzula,CB
»ª±±µØÑîÃ·,Luzula oligantha,6,7,7,8,Juncaceae,Luzula oligantha,Luzula,CB
ÓğÃ«µØÑîÃ·,Luzula plumosa,3,4,5,6,Juncaceae,Luzula plumosa,Luzula,CB
Ç³ÁÑ¼ôÇïÂŞ,Lychnis cognata,6,7,7,8,Caryophyllaceae,Lychnis cognata,Lychnis,CB
¼ô´ºÂŞ,Lychnis coronata,6,7,8,9,Caryophyllaceae,Lychnis coronata,Lychnis,CB
¼ôÇïÂŞ,Lychnis fulgens,6,7,8,9,Caryophyllaceae,Lychnis fulgens,Lychnis,CB
¼ôºìÉ´»¨,Lychnis senno,7,8,8,9,Caryophyllaceae,Lychnis senno,Lychnis,CB
ÖĞ»ªºìË¿Ïß,Lycianthes lysimachioides var. sinensis,NA,NA,NA,NA,Solanaceae,Lycianthes lysimachioides var. sinensis,Lycianthes,CB
èÛè½,Lycium chinense,6,11,6,11,Solanaceae,Lycium chinense,Lycium,WD
Ğ¡Ò¶µØËñ,Lycopus cavaleriei,7,8,8,9,Lamiaceae,Lycopus cavaleriei,Lycopus,CB
µØËñ,Lycopus lucidus,6,9,8,11,Lamiaceae,Lycopus lucidus,Lycopus,CB
Ó²Ã«µØËñ,Lycopus lucidus var. hirtus,NA,NA,NA,NA,Lamiaceae,Lycopus lucidus var. hirtus,Lycopus,CB
Èé°×Ê¯Ëâ,Lycoris albiflora,8,9,NA,NA,Amaryllidaceae,Lycoris albiflora,Lycoris,CB
°²»ÕÊ¯Ëâ,Lycoris anhuiensis,8,8,NA,NA,Amaryllidaceae,Lycoris anhuiensis,Lycoris,CB
ºöµØĞ¦,Lycoris aurea,8,9,10,10,Amaryllidaceae,Lycoris aurea,Lycoris,CB
ÖĞ¹úÊ¯Ëâ,Lycoris chinensis,7,8,9,9,Amaryllidaceae,Lycoris chinensis,Lycoris,CB
³¤Í²Ê¯Ëâ,Lycoris longituba,7,8,NA,NA,Amaryllidaceae,Lycoris longituba,Lycoris,CB
»Æ³¤Í²Ê¯Ëâ,Lycoris longituba var. flava,NA,NA,NA,NA,Amaryllidaceae,Lycoris longituba var. flava,Lycoris,CB
Ê¯Ëâ,Lycoris radiata,8,9,10,10,Amaryllidaceae,Lycoris radiata,Lycoris,CB
Ãµ¹åÊ¯Ëâ,Lycoris rosea,9,9,NA,NA,Amaryllidaceae,Lycoris rosea,Lycoris,CB
»»½õ»¨,Lycoris sprengeri,8,9,NA,NA,Amaryllidaceae,Lycoris sprengeri,Lycoris,CB
ÕäÖé»¨,Lyonia ovalifolia,5,6,7,9,Ericaceae,Lyonia ovalifolia,Lyonia,WD
Ğ¡¹ûÕäÖé»¨,Lyonia ovalifolia var. elliptica,NA,NA,NA,NA,Ericaceae,Lyonia ovalifolia var. elliptica,Lyonia,WD
Ã«¹ûÕäÖé»¨,Lyonia ovalifolia var. hebecarpa,NA,NA,NA,NA,Ericaceae,Lyonia ovalifolia var. hebecarpa,Lyonia,WD
»¢Î²»¨,Lysimachia barystachys,5,8,8,10,Primulaceae,Lysimachia barystachys,Lysimachia,CB
ÔóÕäÖé²Ë,Lysimachia candida,3,6,4,7,Primulaceae,Lysimachia candida,Lysimachia,CB
Ï¸¹£Ïã²İ,Lysimachia capillipes,6,7,8,10,Primulaceae,Lysimachia capillipes,Lysimachia,CB
¹ıÂ·»Æ,Lysimachia christiniae,NA,NA,NA,NA,Primulaceae,Lysimachia christiniae,Lysimachia,CB
Â¶ÖéÕäÖé²Ë,Lysimachia circaeoides,5,6,7,8,Primulaceae,Lysimachia circaeoides,Lysimachia,CB
°«ÌÒ,Lysimachia clethroides,5,7,7,10,Primulaceae,Lysimachia clethroides,Lysimachia,CB
ÁÙÊ±¾È,Lysimachia congestiflora,5,6,7,10,Primulaceae,Lysimachia congestiflora,Lysimachia,CB
ºì¸ù²İ,Lysimachia fortunei,6,8,8,11,Primulaceae,Salvia prionitis,Salvia,CB
ºì¸ù²İ,Lysimachia fortunei,6,8,8,11,Primulaceae,Lysimachia fortunei,Lysimachia,CB
ç›°êÕäÖé²Ë,Lysimachia glanduliflora,5,5,NA,NA,Primulaceae,Lysimachia glanduliflora,Lysimachia,CB
½ğ¹Ï¶ù,Lysimachia grammica,4,5,5,9,Primulaceae,Lysimachia grammica,Lysimachia,CB
µãÏÙ¹ıÂ·»Æ,Lysimachia hemsleyana,4,6,5,7,Primulaceae,Lysimachia hemsleyana,Lysimachia,CB
ºÚÏÙÕäÖé²Ë,Lysimachia heterogenea,5,7,8,10,Primulaceae,Lysimachia heterogenea,Lysimachia,CB
°×»¨¹ıÂ·»Æ,Lysimachia huitsunae,6,7,7,9,Primulaceae,Lysimachia huitsunae,Lysimachia,CB
Ğ¡ÇÑ,Lysimachia japonica,3,4,4,5,Primulaceae,Lysimachia japonica,Lysimachia,CB
ÂÖÒ¶¹ıÂ·»Æ,Lysimachia klattiana,5,7,8,8,Primulaceae,Lysimachia klattiana,Lysimachia,CB
³¤¹£¹ıÂ·»Æ,Lysimachia longipes,5,6,6,7,Primulaceae,Lysimachia longipes,Lysimachia,CB
Ğ¡Ò¶ÕäÖé²Ë,Lysimachia parvifolia,4,6,7,9,Primulaceae,Lysimachia parvifolia,Lysimachia,CB
°Í¶«¹ıÂ·»Æ,Lysimachia patungensis,5,6,7,8,Primulaceae,Lysimachia patungensis,Lysimachia,CB
ÏÁÒ¶ÕäÖé²Ë,Lysimachia pentapetala,7,8,8,9,Primulaceae,Lysimachia pentapetala,Lysimachia,CB
¹áÒ¶¹ıÂ·»Æ,Lysimachia perfoliata,NA,NA,NA,NA,Primulaceae,Lysimachia perfoliata,Lysimachia,CB
ÊèÍ·¹ıÂ·»Æ,Lysimachia pseudohenryi,5,6,6,7,Primulaceae,Lysimachia pseudohenryi,Lysimachia,CB
Êè½Ú¹ıÂ·»Æ,Lysimachia remota,4,7,7,10,Primulaceae,Lysimachia remota,Lysimachia,CB
´óÒ¶ÕäÖé²Ë,Lysimachia stigmatosa,5,5,NA,NA,Primulaceae,Lysimachia stigmatosa,Lysimachia,CB
ÌìÄ¿ÕäÖé²Ë,Lysimachia tienmushanensis,5,6,6,8,Primulaceae,Lysimachia tienmushanensis,Lysimachia,CB
µõÊ¯ÜÄÌ¦,Lysionotus pauciflorus,7,10,NA,NA,Gesneriaceae,Lysionotus pauciflorus,Lysionotus,WD
Ç§Çü²Ë,Lythrum salicaria,7,9,10,10,Lythraceae,Lythrum salicaria,Lythrum,CB
Õã½­Âí°°Ê÷,Maackia chekiangensis,6,6,9,9,Fabaceae,Maackia chekiangensis,Maackia,WD
Âí°°Ê÷,Maackia hupehensis,6,7,8,9,Fabaceae,Maackia hupehensis,Maackia,WD
¹âÒ¶Âí°°Ê÷,Maackia tenuifolia,4,5,8,9,Fabaceae,Maackia tenuifolia,Maackia,WD
ÒË²ıÈóéª,Machilus ichangensis,4,4,8,8,Lauraceae,Machilus ichangensis,Machilus,WD
±¡Ò¶Èóéª,Machilus leptophylla,NA,NA,NA,NA,Lauraceae,Machilus leptophylla,Machilus,WD
·ï»ËÈóéª,Machilus phoenicis,NA,NA,NA,NA,Lauraceae,Machilus phoenicis,Machilus,WD
ºìéª,Machilus thunbergii,2,2,7,7,Lauraceae,Machilus thunbergii,Machilus,WD
²©Âä»Ø,Macleaya cordata,6,11,6,11,Papaveraceae,Macleaya cordata,Macleaya,CB
¹¹¼¬,Maclura cochinchinensis,4,5,6,7,Moraceae,Maclura cochinchinensis,Maclura,WD
èÏ,Maclura tricuspidata,5,6,6,7,Moraceae,Maclura tricuspidata,Maclura,WD
³ôÓ£,Maddenia hypoleuca,NA,NA,NA,NA,Rosaceae,Maddenia hypoleuca,Maddenia,WD
Èñ³İ³ôÓ£,Maddenia incisoserrata,4,4,6,6,Rosaceae,Maddenia incisoserrata,Maddenia,WD
¶Å¾¥É½,Maesa japonica,1,3,10,10,Myrsinaceae,Maesa japonica,Maesa,WD
À«Ò¶Ê®´ó¹¦ÀÍ,Mahonia bealei,9,1,3,5,Berberidaceae,Mahonia bealei,Mahonia,WD
¹Ü»¨Â¹Ò©,Maianthemum henryi,5,6,8,10,Liliaceae,Maianthemum henryi,Maianthemum,CB
Â¹Ò©,Maianthemum japonicum,5,6,8,9,Liliaceae,Maianthemum japonicum,Maianthemum,CB
É¬½æ,Malcolmia africana,6,8,6,8,Brassicaceae,Malcolmia africana,Malcolmia,CB
°×±³Ò¶,Mallotus apelta,6,9,8,11,Euphorbiaceae,Mallotus apelta,Mallotus,WD
Ò°ÎàÍ©,Mallotus japonicus,4,6,7,8,Euphorbiaceae,Mallotus japonicus,Mallotus,WD
Äá²´¶ûÒ°Í©,Mallotus nepalensis,6,7,6,7,Euphorbiaceae,Mallotus nepalensis,Mallotus,WD
ºìÒ¶Ò°Í©,Mallotus paxii,6,8,10,11,Euphorbiaceae,Mallotus paxii,Mallotus,WD
´Ö¿·²ñ,Mallotus philippensis,4,5,5,8,Euphorbiaceae,Mallotus philippinensis,Mallotus,WD
´Ö¿·²ñ,Mallotus philippinensis,4,5,5,8,Euphorbiaceae,Mallotus philippinensis,Mallotus,WD
Ê¯ÑÒ·ã,Mallotus repandus,3,5,8,9,Euphorbiaceae,Mallotus repandus,Mallotus,WD
Ò°Í©,Mallotus tenuifolius,7,11,NA,NA,Euphorbiaceae,Mallotus tenuifolius,Mallotus,WD
»¨ºì,Malus asiatica,4,5,8,9,Rosaceae,Malus asiatica,Malus,WD
É½¾£×Ó,Malus baccata,4,6,9,10,Rosaceae,Malus baccata,Malus,WD
Ì¨Íåº£ÌÄ,Malus doumeri,5,5,8,9,Rosaceae,Malus doumeri,Malus,WD
´¹Ë¿º£ÌÄ,Malus halliana,3,4,9,10,Rosaceae,Malus halliana,Malus,WD
ºş±±º£ÌÄ,Malus hupehensis,4,5,8,9,Rosaceae,Malus hupehensis,Malus,WD
¹âİàº£ÌÄ,Malus leiocalyca,NA,NA,NA,NA,Rosaceae,Malus leiocalyca,Malus,WD
Ã«É½¾£×Ó,Malus mandshurica,5,6,8,9,Rosaceae,Malus mandshurica,Malus,WD
Ô²Ò¶½õ¿û,Malva pusilla,NA,NA,NA,NA,Malvaceae,Malva pusilla,Malva,CB
Ò°¿û,Malva verticillata,3,11,NA,NA,Malvaceae,Malva verticillata,Malva,CB
Ä¾Á«,Manglietia fordiana,5,5,10,10,Magnoliaceae,Manglietia fordiana,Manglietia,WD
Å£ÄÌ²Ë,Marsdenia sinensis,NA,NA,NA,NA,Asclepiadaceae,Marsdenia sinensis,Marsdenia,WD
ÔçÂäÍ¨Èª²İ,Mazus caducifer,4,5,6,8,Scrophulariaceae,Mazus caducifer,Mazus,CB
ÏËÏ¸Í¨Èª²İ,Mazus gracilis,4,7,4,7,Scrophulariaceae,Mazus gracilis,Mazus,CB
Í¨Èª²İ,Mazus japonicus,4,10,4,10,Scrophulariaceae,Mazus pumilus,Mazus,CB
Í¨Èª²İ,Mazus japonicus,4,10,4,10,Scrophulariaceae,Mazus fauriei,Mazus,CB
Ùé¾¥Í¨Èª²İ,Mazus miquelii,2,8,2,8,Scrophulariaceae,Mazus miquelii,Mazus,CB
Í¨Èª²İ,Mazus pumilus,4,10,4,10,Scrophulariaceae,Mazus pumilus,Mazus,CB
Í¨Èª²İ,Mazus pumilus,4,10,4,10,Scrophulariaceae,Mazus fauriei,Mazus,CB
Í¨Èª²İ´óİà±äÖÖ,Mazus pumilus var. macrocalyx,NA,NA,NA,NA,Scrophulariaceae,Mazus pumilus var. macrocalyx,Mazus,CB
Ã«¹ûÍ¨Èª²İ,Mazus spicatus,5,6,7,8,Scrophulariaceae,Mazus spicatus,Mazus,CB
µ¯µ¶×Ó²Ë,Mazus stachydifolius,4,6,7,9,Scrophulariaceae,Mazus stachydifolius,Mazus,CB
ĞİÄşÍ¨Èª²İ,Mazus xiuningensis,NA,NA,NA,NA,Scrophulariaceae,Mazus xiuningensis,Mazus,CB
ÌìÀ¶ÜÙŞ£,Medicago lupulina,7,9,8,10,Fabaceae,Medicago lupulina,Medicago,CB
»ªÎ÷ÁúÍ·²İ×ß¾¥±äÖÖ,Meehania fargesii var. radicans,NA,NA,NA,NA,Lamiaceae,Meehania fargesii var. radicans,Meehania,CB
ÏÁÒ¶ÁúÍ·²İ,Meehania pinfaensis,5,7,7,8,Lamiaceae,Meehania pinfaensis,Meehania,CB
İ¡ÂéÒ¶ÁúÍ·²İ,Meehania urticifolia,5,6,6,6,Lamiaceae,Meehania urticifolia,Meehania,CB
É½ÂŞ»¨,Melampyrum roseum,NA,NA,NA,NA,Scrophulariaceae,Melampyrum roseum,Melampyrum,CB
µØÇŒ,Melastoma dodecandrum,5,7,7,9,Melastomataceae,Melastoma dodecandrum,Melastoma,WD
é¬,Melia azedarach,4,5,10,12,Meliaceae,Melia azedarach,Melia,WD
´ó»¨³ô²İ,Melica grandiflora,4,7,4,7,Poaceae,Melica grandiflora,Melica,CB
¹ãĞò³ô²İ,Melica onoei,7,10,7,10,Poaceae,Melica onoei,Melica,CB
³ô²İ,Melica scabrosa,5,8,5,8,Poaceae,Melica scabrosa,Melica,CB
Åİ»¨Ê÷,Meliosma cuneifolia,6,7,9,11,Sabiaceae,Meliosma cuneifolia,Meliosma,WD
´¹Ö¦Åİ»¨Ê÷,Meliosma flexuosa,5,6,7,9,Sabiaceae,Meliosma flexuosa,Meliosma,WD
¶à»¨Åİ»¨Ê÷,Meliosma myriantha,NA,NA,5,9,Sabiaceae,Meliosma myriantha,Meliosma,WD
ÒìÉ«Åİ»¨Ê÷,Meliosma myriantha var. discolor,NA,NA,NA,NA,Sabiaceae,Meliosma myriantha var. discolor,Meliosma,WD
ÈáÃ«Åİ»¨Ê÷,Meliosma myriantha var. pilosa,NA,NA,NA,NA,Sabiaceae,Meliosma myriantha var. pilosa,Meliosma,WD
ºì²ñÖ¦,Meliosma oldhamii,5,6,8,9,Sabiaceae,Meliosma oldhamii,Meliosma,WD
ÓĞÏÙÅİ»¨Ê÷,Meliosma oldhamii var. glandulifera,NA,NA,NA,NA,Sabiaceae,NA,NA,NA
Ï¸»¨Åİ»¨Ê÷,Meliosma parviflora,NA,NA,9,10,Sabiaceae,Meliosma parviflora,Meliosma,WD
ÓğÒ¶Åİ»¨Ê÷,Meliosma pinnata,5,6,9,10,Sabiaceae,Meliosma pinnata,Meliosma,WD
Å¯Ä¾,Meliosma veitchiorum,5,5,8,9,Sabiaceae,Meliosma veitchiorum,Meliosma,WD
ÂíËÉ×Ó,Melochia corchorifolia,NA,NA,NA,NA,Sterculiaceae,Melochia corchorifolia,Melochia,CB
òùòğ¸ğ,Menispermum dauricum,6,7,8,9,Menispermaceae,Menispermum dauricum,Menispermum,CB
±¡ºÉ,Mentha canadensis,7,9,10,10,Lamiaceae,Mentha canadensis,Mentha,CB
É½µå,Mercurialis leiocarpa,12,4,4,7,Euphorbiaceae,Mercurialis leiocarpa,Mercurialis,CB
±±Óã»Æ²İ,Merremia sibirica,NA,NA,NA,NA,Convolvulaceae,Merremia sibirica,Merremia,CB
¾Å»ª±±Óã»Æ²İ,Merremia sibirica var. jiuhuaensis,NA,NA,NA,NA,Convolvulaceae,Merremia sibirica var. jiuhuaensis,Merremia,CB
»ÆÃŞÄ¾,Metadina trichotoma,4,12,4,12,Rubiaceae,Metadina trichotoma,Metadina,WD
»ªÂÜË,Metaplexis hemsleyana,7,9,9,12,Asclepiadaceae,Metaplexis hemsleyana,Metaplexis,CB
ÂÜË,Metaplexis japonica,7,8,9,12,Asclepiadaceae,Metaplexis japonica,Metaplexis,CB
º¬Ğ¦»¨,Michelia figo,3,5,7,8,Magnoliaceae,Michelia figo,Michelia,WD
ÉîÉ½º¬Ğ¦,Michelia maudiae,2,3,9,10,Magnoliaceae,Michelia maudiae,Michelia,WD
Ò°º¬Ğ¦,Michelia skinneriana,5,6,8,9,Magnoliaceae,Michelia skinneriana,Michelia,WD
ÈÕ±¾İ¬Öñ,Microstegium japonicum,6,9,6,9,Poaceae,Microstegium japonicum,Microstegium,CB
ÖñÒ¶Ã©,Microstegium nudum,8,10,8,10,Poaceae,Microstegium nudum,Microstegium,CB
¶àÃ¢İ¬Öñ,Microstegium somae,NA,NA,NA,NA,Poaceae,Microstegium somae,Microstegium,CB
ÈáÖ¦İ¬Öñ,Microstegium vimineum,8,11,8,11,Poaceae,Microstegium vimineum,Microstegium,CB
¸£½¨¼ÙÎÀÃ¬,Microtropis fokienensis,NA,NA,NA,NA,Celastraceae,Microtropis fokienensis,Microtropis,WD
ËÚ²İ,Milium effusum,5,7,5,7,Poaceae,Milium effusum,Milium,CB
ÃÜ»¨ÑÂ¶¹ÌÙ,Millettia congestiflora,NA,NA,NA,NA,Fabaceae,Millettia congestiflora,Millettia,WD
½­Î÷ÑÂ¶¹ÌÙ,Millettia kiangsiensis,NA,NA,NA,NA,Fabaceae,Millettia kiangsiensis,Millettia,WD
¹µËá½¬,Mimulus tenellus,6,9,6,9,Scrophulariaceae,Mimulus tenellus,Mimulus,CB
Äá²´¶û¹µËá½¬,Mimulus tenellus var. nepalensis,NA,NA,NA,NA,Scrophulariaceae,Mimulus tenellus var. nepalensis,Mimulus,CB
İ¶,Miscanthus sacchariflorus,8,10,8,10,Poaceae,Miscanthus sacchariflorus,Miscanthus,CB
Ã¢,Miscanthus sinensis,7,12,7,12,Poaceae,Miscanthus sinensis,Miscanthus,CB
Âû»¢´Ì,Mitchella undulata,NA,NA,NA,NA,Rubiaceae,Mitchella undulata,Mitchella,CB
¼âÃ±»¨,Mitrasacme indica,2,6,5,8,Loganiaceae,Mitrasacme indica,Mitrasacme,CB
Ë®Ìï°×,Mitrasacme pygmaea,6,7,8,9,Loganiaceae,Mitrasacme pygmaea,Mitrasacme,CB
ÈıÂöÖÖ¸·²İ,Moehringia trinervia,5,6,6,7,Caryophyllaceae,Moehringia trinervia,Moehringia,CB
ÄâÂóÊÏ²İ,Molinia japonica,8,9,8,9,Poaceae,Molinia japonica,Molinia,CB
ËÚÃ×²İ,Mollugo stricta,6,8,8,10,Molluginaceae,Mollugo stricta,Mollugo,CB
Ä¾±î×Ó,Momordica cochinchinensis,6,8,8,10,Cucurbitaceae,Momordica cochinchinensis,Momordica,CB
ÓÀ°êÌÙ,Monimopetalum chinense,NA,NA,NA,NA,Celastraceae,Monimopetalum chinense,Monimopetalum,WD
°×Ã«Â¹È×²İ,Monochasma savatieri,3,4,NA,NA,Scrophulariaceae,Monochasma savatieri,Monochasma,CB
Â¹È×²İ,Monochasma sheareri,NA,NA,NA,NA,Scrophulariaceae,Monochasma sheareri,Monochasma,CB
Óê¾Ã»¨,Monochoria korsakowii,7,8,9,10,Pontederiaceae,Monochoria korsakowii,Monochoria,CB
Ñ¼Éà²İ,Monochoria vaginalis,8,9,9,10,Pontederiaceae,Monochoria vaginalis,Monochoria,CB
ËÉÏÂÀ¼,Monotropa hypopitys,6,7,7,8,Ericaceae,Monotropa hypopitys,Monotropa,CB
Ë®¾§À¼,Monotropa uniflora,8,9,10,11,Ericaceae,Monotropa uniflora,Monotropa,CB
Çò¹û¼ÙÉ³¾§À¼,Monotropastrum humile,6,7,8,9,Ericaceae,Monotropastrum humile,Monotropastrum,CB
°×Èï°Íêª,Morinda citrina var. chlorina,NA,NA,NA,NA,Rubiaceae,Morinda citrina var. chlorina,Morinda,WD
Ó¡¶ÈÑò½ÇÌÙ,Morinda umbellata,6,7,10,11,Rubiaceae,NA,NA,NA
É£,Morus alba,4,5,5,8,Moraceae,Morus alba,Morus,WD
¼¦É£,Morus australis,3,4,4,5,Moraceae,Morus australis,Morus,WD
»ªÉ£,Morus cathayana,4,5,5,6,Moraceae,Morus cathayana,Morus,WD
ÃÉÉ£,Morus mongolica,3,4,4,5,Moraceae,Morus mongolica,Morus,WD
Ğ¡»¨ÜùÜÑ,Mosla cavaleriei,9,11,10,12,Lamiaceae,Mosla cavaleriei,Mosla,CB
Ê¯ÏãŞ¸,Mosla chinensis,6,9,7,11,Lamiaceae,Mosla chinensis,Mosla,CB
Ğ¡ÓãÏÉ²İ,Mosla dianthera,5,11,5,11,Lamiaceae,Mosla dianthera,Mosla,CB
³¤°úÜùÜÑ,Mosla longibracteata,9,10,10,11,Lamiaceae,Mosla longibracteata,Mosla,CB
³¤ËëÜùÜÑ,Mosla longispica,11,11,11,11,Lamiaceae,Mosla longispica,Mosla,CB
Ê¯ÜùÜÑ,Mosla scabra,5,11,9,11,Lamiaceae,Mosla scabra,Mosla,CB
ñŞÆ¤÷ó¶¹,Mucuna lamellata,NA,NA,NA,NA,Fabaceae,Mucuna lamellata,Mucuna,
´ÌÃ«÷ó¶¹,Mucuna pruriens,8,9,10,11,Fabaceae,Mucuna pruriens,Mucuna,CB
÷ó¶¹,Mucuna pruriens var. utilis,10,10,11,11,Fabaceae,Mucuna pruriens var. utilis,Mucuna,CB
³£´ºÓÍÂéÌÙ,Mucuna sempervirens,4,5,8,10,Fabaceae,Mucuna sempervirens,Mucuna,WD
Ïä¸ùÂÒ×Ó²İ,Muhlenbergia hakonensis,7,10,7,10,Poaceae,Muhlenbergia hakonensis,Muhlenbergia,CB
ÂÒ×Ó²İ,Muhlenbergia huegelii,NA,NA,NA,NA,Poaceae,Muhlenbergia huegelii,Muhlenbergia,CB
ÈÕ±¾ÂÒ×Ó²İ,Muhlenbergia japonica,7,11,7,11,Poaceae,Muhlenbergia japonica,Muhlenbergia,CB
¶àÖ¦ÂÒ×Ó²İ,Muhlenbergia ramosa,7,10,7,10,Poaceae,Muhlenbergia ramosa,Muhlenbergia,CB
ÈéÜÄ,Mulgedium tataricum,6,9,6,9,Asteraceae,Mulgedium tataricum,Mulgedium,CB
ğà²İ,Murdannia keisak,8,9,NA,NA,Commelinaceae,Murdannia keisak,Murdannia,CB
Å£éî²İ,Murdannia loriformis,5,10,5,10,Commelinaceae,Murdannia loriformis,Murdannia,CB
Âã»¨Ë®ÖñÒ¶,Murdannia nudiflora,8,9,8,9,Commelinaceae,Murdannia nudiflora,Murdannia,CB
Ë®ÖñÒ¶,Murdannia triquetra,9,10,10,11,Commelinaceae,Murdannia triquetra,Murdannia,CB
ü[»¨,Mussaenda esquirolii,5,7,7,10,Rubiaceae,Mussaenda esquirolii,Mussaenda,WD
´óÒ¶°×Ö½ÉÈ,Mussaenda shikokiana,6,6,NA,NA,Rubiaceae,NA,NA,NA
¶ì³¦²Ë,Myosoton aquaticum,5,8,6,9,Caryophyllaceae,Myosoton aquaticum,Myosoton,CB
ÑîÃ·,Myrica rubra,4,4,6,7,Myricaceae,Myrica rubra,Myrica,WD
»¥»¨¹ÂÎ²Ôå,Myriophyllum alterniflorum,NA,NA,NA,NA,Haloragaceae,Myriophyllum alterniflorum,Myriophyllum,CB
Ëë×´¹ÂÎ²Ôå,Myriophyllum spicatum,NA,NA,NA,NA,Haloragaceae,Myriophyllum spicatum,Myriophyllum,CB
ÎÚËÕÀïºüÎ²Ôå,Myriophyllum ussuriense,5,6,6,8,Haloragaceae,Myriophyllum ussuriense,Myriophyllum,CB
ºüÎ²Ôå,Myriophyllum verticillatum,NA,NA,NA,NA,Haloragaceae,Myriophyllum verticillatum,Myriophyllum,CB
¹âÒ¶Ìú×Ğ,Myrsine stolonifera,4,6,12,1,Myrsinaceae,Myrsine stolonifera,Myrsine,WD
²İ´ÄÔå,Najas graminea,6,9,6,9,Najadaceae,NA,NA,NA
´ó´ÄÔå,Najas marina,9,11,9,11,Najadaceae,Najas marina,Najas,CB
Ğ¡´ÄÔå,Najas minor,6,10,6,10,Najadaceae,Najas minor,Najas,CB
ÄÏÌìÖñ,Nandina domestica,3,6,5,11,Berberidaceae,Nandina domestica,Nandina,WD
»¨µã²İ,Nanocnide japonica,4,5,6,7,Urticaceae,Nanocnide japonica,Nanocnide,CB
Ã«»¨µã²İ,Nanocnide lobata,4,6,6,8,Urticaceae,Nanocnide lobata,Nanocnide,CB
Ë®ÏÉ,Narcissus tazetta var. chinensis,NA,NA,NA,NA,Amaryllidaceae,Narcissus tazetta var. chinensis,Narcissus,CB
±¡Ò¶ĞÂ¶ú²İ,Neanotis hirsuta,7,10,7,10,Rubiaceae,Neanotis hirsuta,Neanotis,CB
