scientific name,Chinese name,genus name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Cynanchum bungei,°×Ê×ÎÚ,Cynanchum,Asclepiadaceae,6,7,8,9,WD
Cynanchum chinense,¶ìÈŞÌÙ,Cynanchum,Asclepiadaceae,6,8,8,10,CB
Cynanchum inamoenum,ÖñÁéÏû,Cynanchum,Asclepiadaceae,6,7,7,9,CB
Cynanchum mongolicum,»ª±±°×Ç°,NA,Asclepiadaceae,5,8,6,11,CB
Cynanchum paniculatum,Ğì³¤Çä,NA,Asclepiadaceae,6,8,7,9,CB
Cynanchum purpureum,×Ï»¨¶ìÈŞÌÙ,Cynanchum,Asclepiadaceae,6,7,7,9,CB
Cynanchum thesioides,µØÉÒ¹Ï,Cynanchum,Asclepiadaceae,6,7,7,9,WD
Cynanchum versicolor,±äÉ«°×Ç°,Cynanchum,Asclepiadaceae,6,8,8,9,WD
Cynanchum wilfordii,¸ôÉ½Ïû,Cynanchum,Asclepiadaceae,6,8,7,10,CB
Cynoglossum divaricatum,´ó¹ûÁğÁ§²İ,Cynoglossum,Boraginaceae,6,8,6,8,CB
Cyperus amuricus,°¢ÄÂ¶ûÉ¯²İ,NA,Cyperaceae,7,10,7,10,CB
Cyperus compressus,±âËëÉ¯²İ,NA,Cyperaceae,7,10,7,10,CB
Cyperus fuscus,ºÖËëÉ¯²İ,Cyperus,Cyperaceae,7,10,7,10,CB
Cyperus glomeratus,Í·×´ËëÉ¯²İ,NA,Cyperaceae,6,10,6,10,CB
Cyperus michelianus,ĞıÁÛÉ¯²İ,Cyperus,Cyperaceae,6,9,6,9,CB
Cyperus nipponicus,°×ÁÛÉ¯²İ,Cyperus,Cyperaceae,8,10,8,10,CB
Cyperus orthostachyus,ÈıÂÖ²İ,Cyperus,Cyperaceae,8,10,8,10,CB
Cyperus rotundus,Ïã¸½×Ó,Cyperus,Cyperaceae,7,9,7,9,CB
Cypripedium calceolus,è¼À¼,Cypripedium,Orchidaceae,6,7,8,8,CB
Cypripedium guttatum,×Ïµãè¼À¼,Cypripedium,Orchidaceae,6,7,8,8,CB
Cypripedium macranthum,´ó»¨è¼À¼,Cypripedium,Orchidaceae,6,7,8,9,CB
Czernaevia laevigata,ÁøÒ¶ÇÛ,NA,Apiaceae,7,8,9,9,CB
Delphinium grandiflorum,´äÈ¸,Delphinium,Ranunculaceae,5,10,NA,NA,CB
Delphinium maackianum,¿í°ú´äÈ¸»¨,Delphinium,Ranunculaceae,8,8,9,9,CB
Dendranthema lavandulifolium var. seticuspe,¸Ê¾Õ¸ÊÒ°¾Õ±äÖÖ,NA,Asteraceae,NA,NA,NA,NA,CB
Deutzia baroniana,¹³³İäÑÊè,Deutzia,Saxifragaceae,4,5,9,10,WD
Deutzia glabrata,¹âİàäÑÊè,Deutzia,Saxifragaceae,6,7,8,9,WD
Deutzia grandiflora,´ó»¨äÑÊè,NA,Saxifragaceae,4,5,6,9,WD
Deutzia parviflora,Ğ¡»¨äÑÊè,NA,Saxifragaceae,6,6,8,9,WD
Deutzia parviflora var. amurensis,¶«±±äÑÊè,NA,Saxifragaceae,6,6,9,9,WD
Deyeuxia purpurea,´óÒ¶ÕÂ,NA,Poaceae,7,9,NA,NA,CB
Deyeuxia pyramidalis,Ò°ÇàÃ©,NA,Poaceae,6,10,6,10,CB
Dianthus chinensis,Ê¯Öñ,NA,Caryophyllaceae,6,9,7,3,CB
Dianthus longicalyx,³¤İàöÄÂó,Dianthus,Caryophyllaceae,6,8,8,9,CB
Dianthus repens,´Ø¾¥Ê¯Öñ,Dianthus,Caryophyllaceae,7,8,NA,NA,CB
Dianthus superbus,öÄÂó,NA,Caryophyllaceae,7,8,8,9,CB
Diarrhena fauriei,·¨ÀûÁú³£²İ,Diarrhena,Poaceae,7,9,7,9,CB
Diarrhena mandshurica,Áú³£²İ,NA,Poaceae,6,9,6,9,CB
Diarthron linifolium,²İÈğÏã,Diarthron,Thymelaeaceae,5,7,6,8,CB
Dicentra spectabilis,ºÉ°üÄµµ¤,NA,Papaveraceae,NA,NA,NA,NA,CB
Dictamnus dasycarpus,°×ÏÊ,NA,Rutaceae,5,7,7,9,CB
Digitaria ciliaris,ÏËÃ«ÂíÌÆ,Digitaria,Poaceae,6,10,6,10,CB
Digitaria ciliaris var. chrysoblephara,Ã«ÂíÌÆ,NA,Poaceae,NA,NA,NA,NA,CB
Digitaria ischaemum,Ö¹ÑªÂíÌÆ,Digitaria,Poaceae,7,11,7,11,CB
Dioscorea nipponica,´©ÁúÊíİ÷,Dioscorea,Dioscoreaceae,5,7,7,9,CB
Dioscorea polystachya,Êíİ÷,NA,Dioscoreaceae,6,9,7,11,CB
Diospyros lotus,¾ıÇ¨×Ó,NA,Ebenaceae,5,6,10,10,WD
Diplandrorchis sinica,Ë«ÈïÀ¼,NA,Orchidaceae,8,9,9,10,CB
Dipsacus japonicus,ÈÕ±¾Ğø¶Ï,NA,Dipsacaceae,8,9,9,10,CB
Disporum sessile,±¦îì²İ,Disporum,Liliaceae,3,6,6,11,CB
Disporum uniflorum,ÉÙ»¨ÍòÊÙÖñ,NA,Liliaceae,3,6,7,11,CB
Disporum viridescens,±¦Öé²İ,NA,Liliaceae,5,6,7,9,CB
Doellingeria scabra,¶«·ç²Ë,Doellingeria,Asteraceae,6,10,8,10,CB
Dontostemon dentatus,»¨Æì¸Ë,Dontostemon,Brassicaceae,6,7,7,8,CB
Dontostemon integrifolius,ÏßÒ¶»¨Æì¸Ë,Dontostemon,Brassicaceae,7,10,7,10,CB
Dontostemon micranthus,Ğ¡»¨»¨Æì¸Ë,Dontostemon,Brassicaceae,6,7,7,8,CB
Draba nemorosa,İãÜÂ,NA,Brassicaceae,4,5,5,5,CB
Dracocephalum argunense,¹âİàÇàÀ¼,Dracocephalum,Lamiaceae,7,9,9,10,CB
Dracocephalum moldavica,ÏãÇàÀ¼,NA,Lamiaceae,NA,NA,NA,NA,CB
Dracocephalum rupestre,Ã«½¨²İ,Dracocephalum,Lamiaceae,7,9,7,9,CB
Dryas octopetala var. asiatica,¶«ÑÇÏÉÅ®Ä¾,NA,Rosaceae,7,8,7,8,WD
Duchesnea indica,Éßİ®,Duchesnea,Rosaceae,6,7,7,8,CB
Echinochloa caudata,³¤Ã¢°Ş,NA,Poaceae,6,11,6,11,CB
Echinochloa crusgalli var. mitis,ÎŞÃ¢°Ş,NA,Poaceae,NA,NA,NA,NA,CB
Echinochloa crusgalli var. zelayensis,Î÷À´°Ş,NA,Poaceae,NA,NA,NA,NA,CB
Echinochloa frumentacea,ºşÄÏ°Ş×Ó,NA,Poaceae,8,8,8,8,CB
Echinochloa oryzoides,Ë®Ìï°Ş,Echinochloa,Poaceae,7,10,7,10,CB
Echinops dissectus,ºÖÃ«À¶´ÌÍ·,Echinops,Asteraceae,8,9,9,10,CB
Echinops gmelinii,É°À¶´ÌÍ·,Echinops,Asteraceae,6,9,6,9,CB
Echinops grijsii,»ª¶«À¶´ÌÍ·,Echinops,Asteraceae,7,10,7,10,CB
Echinops latifolius,Â¿ÆÛ¿Ú,Echinops,Asteraceae,7,8,8,9,CB
Elaeagnus angustifolia,É³Ôæ,NA,Elaeagnaceae,6,7,7,9,WD
Elaeagnus multiflora,Ä¾°ëÏÄ,NA,Elaeagnaceae,4,5,6,7,WD
Elaeagnus umbellata,Å£ÄÌ×Ó,NA,Elaeagnaceae,4,5,7,8,WD
Eleocharis mamillata,ÈéÍ·»ùİ©Üù,NA,Cyperaceae,NA,NA,NA,NA,CB
Eleocharis pellucida,Í¸Ã÷ÁÛİ©Üù,NA,Cyperaceae,4,11,4,11,CB
Eleocharis valleculosa var. setosa,¾ß¸ÕÃ«İ©Üù,NA,Cyperaceae,6,8,6,8,CB
Eleocharis wichurai,ÓğÃ«İ©Üù,NA,Cyperaceae,NA,NA,NA,NA,CB
Eleutherococcus senticosus,´ÌÎå¼Ó,Eleutherococcus,Araliaceae,7,7,8,9,WD
Eleutherococcus sessiliflorus,ÎŞ¹£Îå¼Ó,Eleutherococcus,Araliaceae,8,9,9,11,WD
Elsholtzia saxatilis,ÑÒÉúÏãŞ¸,NA,Lamiaceae,7,9,7,9,CB
Elsholtzia splendens,º£ÖŞÏãŞ¸,NA,Lamiaceae,9,11,9,11,CB
Elsholtzia stauntonii,Ä¾ÏãŞ¸,NA,Lamiaceae,7,10,7,10,WD
Elymus barbicallus,Ã«ÅÌ²İ,NA,Poaceae,5,6,5,6,CB
Elymus ciliaris,ÏËÃ«Åû¼î²İ,NA,Poaceae,4,7,4,7,CB
Elymus ciliaris var. amurensis,°¢ÂóÏËÃ«²İ,NA,Poaceae,6,7,6,7,CB
Elymus ciliaris var. lasiophyllus,Ã«Ò¶ÏËÃ«²İ,NA,Poaceae,5,7,5,7,CB
Elymus dahuricus,Åû¼î²İ,NA,Poaceae,6,8,6,8,CB
Elymus excelsus,·ÊÅû¼î²İ,NA,Poaceae,7,8,7,8,CB
Elymus gmelinii,ÕæËëÅû¼î²İ,NA,Poaceae,6,8,6,8,CB
Elymus hondae,±¾ÌïÅû¼î²İ,NA,Poaceae,7,8,7,8,CB
Elymus kamoji,¿ÂÃÏÅû¼î²İ,NA,Poaceae,5,7,5,7,CB
Elymus pendulinus,ÔµÃ«Åû¼î²İ,NA,Poaceae,6,7,6,7,CB
Elymus pendulinus subsp. multiculmis,¶à¸ÑÔµÃ«²İ,NA,Poaceae,6,7,6,7,CB
Elymus pendulinus subsp. pubicaulis,Ã«¸ÑÅû¼î²İ,NA,Poaceae,6,7,6,7,CB
Elymus sibiricus,ÀÏÃ¢Âó,NA,Poaceae,6,9,6,9,CB
Elymus sinicus,ÖĞ»ªÅû¼î²İ,NA,Poaceae,7,8,7,8,CB
Enemion raddeanum,Äâ±â¹û²İ,Enemion,Ranunculaceae,5,5,6,6,CB
Enneapogon desvauxii,¾Å¶¥²İ,Enneapogon,Poaceae,8,11,8,11,CB
Epilobium amurense,Ã«ÂöÁøÒ¶²Ë,NA,Onagraceae,NA,NA,NA,NA,CB
Epilobium amurense subsp. cephalostigma,¹â»¬ÁøÒ¶²Ë,NA,Onagraceae,6,9,8,10,CB
Epilobium fastigiatoramosum,¶àÖ¦ÁøÒ¶²Ë,NA,Onagraceae,7,8,8,9,CB
Epilobium hirsutum,ÁøÒ¶²Ë,NA,Onagraceae,7,8,8,9,CB
Epilobium minutiflorum,Ï¸×ÑÁøÒ¶²Ë,NA,Onagraceae,7,8,8,9,CB
Epilobium palustre,ÕÓÉúÁøÒ¶²Ë,NA,Onagraceae,7,9,9,9,CB
Epimedium koreanum,³¯ÏÊÒùÑòŞ½,Epimedium,Berberidaceae,4,5,5,5,CB
Epimedium leptorrhizum,Ç­ÁëÒùÑò»ô,Epimedium,Berberidaceae,4,4,4,6,CB
Epipactis helleborine,»ğÉÕÀ¼,Epipactis,Orchidaceae,7,7,9,9,CB
Epipactis papillosa,Ï¸Ã«»ğÉÕÀ¼,Epipactis,Orchidaceae,7,7,8,8,CB
Epipactis xanthophaea,±±»ğÉÕÀ¼,Epipactis,Orchidaceae,7,7,9,9,CB
Eragrostis cilianensis,´ó»­Ã¼²İ,Eragrostis,Poaceae,7,10,7,10,CB
Eragrostis ferruginea,Öª·ç²İ,Eragrostis,Poaceae,8,10,8,10,CB
Eragrostis minor,Ğ¡»­Ã¼²İ,Eragrostis,Poaceae,8,9,8,9,CB
Eragrostis pilosa,»­Ã¼²İ,Eragrostis,Poaceae,6,9,6,9,CB
Eranthis stellata,İË¿û,NA,Ranunculaceae,3,4,5,5,CB
Erigeron acer,·ÉÅî,Erigeron,Asteraceae,7,9,NA,NA,CB
Erigeron elongatus,³¤¾¥·ÉÅî,NA,Asteraceae,NA,NA,NA,NA,CB
Eriocaulon decemflorum,³¤°ú¹È¾«²İ,Eriocaulon,Eriocaulaceae,8,9,9,10,CB
Eriochloa villosa,Ò°Êò,Eriochloa,Poaceae,7,10,7,10,CB
Eriocycla albescens,ÈŞ¹ûÇÛ,Eriocycla,Apiaceae,8,9,9,10,CB
Eriocycla albescens var. latifolia,´óÒ¶ÈŞ¹ûÇÛ,NA,Apiaceae,NA,NA,NA,NA,CB
Eriophorum gracile,Ï¸¸ÑÑòºú×Ó²İ,NA,Cyperaceae,6,7,6,7,CB
Eriophorum vaginatum,°×Ã«Ñòºú×Ó²İ,Eriophorum,Cyperaceae,6,6,6,6,CB
Eritrichium borealisinense,±±³İÔµ²İ,Eritrichium,Boraginaceae,6,9,6,9,CB
Erodium stephanianum, ½Å£¶ùÃç,Erodium,Geraniaceae,6,8,8,9,CB
Eruca vesicaria subsp. sativa,Ö¥Âé²Ë,NA,Brassicaceae,NA,NA,NA,NA,CB
Erysimum amurense,Á¸½æ,NA,Brassicaceae,NA,NA,NA,NA,CB
Erysimum cheiranthoides,Ğ¡»¨ÌÇ½æ,NA,Brassicaceae,5,8,6,9,CB
Erysimum macilentum,²¨³İÌÇ½æ,Erysimum,Brassicaceae,3,7,3,7,CB
Erythronium japonicum,ÖíÑÀ»¨,Erythronium,Liliaceae,5,6,6,7,CB
Euonymus alatus,ÎÀÃ¬,NA,Celastraceae,5,5,9,9,WD
Euonymus fortunei,·ö·¼ÌÙ,NA,Celastraceae,5,5,9,9,WD
Euonymus hamiltonianus,Î÷ÄÏÎÀÃ¬,Euonymus,Celastraceae,4,7,8,11,WD
Euonymus maackii,°×¶Å,NA,Celastraceae,5,6,9,9,WD
Euonymus macropterus,»ÆĞÄÎÀÃ¬,NA,Celastraceae,5,6,8,9,WD
Euonymus oxyphyllus,´¹Ë¿ÎÀÃ¬,Euonymus,Celastraceae,4,6,8,11,WD
Euonymus sachalinensis,¿âÒ³ÎÀÃ¬,NA,Celastraceae,4,7,8,11,WD
Euonymus verrucosus,ÁöÖ¦ÎÀÃ¬,NA,Celastraceae,5,7,8,11,WD
Eupatorium japonicum,°×Í·ÆÅ,NA,Asteraceae,7,8,8,9,CB
Eupatorium lindleyanum,ÁÖÔóÀ¼,NA,Asteraceae,7,9,7,9,CB
Euphorbia fischeriana,ÀÇ¶¾,NA,Euphorbiaceae,4,6,4,6,CB
Euphorbia hylonoma,ºş±±´óêª,NA,Euphorbiaceae,4,7,NA,NA,CB
Euphorbia indica,ÄÏÑÇ´óêª,NA,Euphorbiaceae,6,8,8,9,CB
Euphorbia lucorum,ÁÖ´óêª,NA,Euphorbiaceae,5,6,6,7,CB
Euphorbia pekinensis,´óêª,NA,Euphorbiaceae,5,5,6,7,CB
Euphorbia pilosa,Ã«´óêª,NA,Euphorbiaceae,6,8,6,8,CB
Euphorbia sieboldiana,¹³ÏÙ´óêª,Euphorbia,Euphorbiaceae,4,5,4,9,CB
Euphrasia pectinata subsp. simplex,¸ßÖ¦Ğ¡Ã×²İ,NA,Scrophulariaceae,8,9,NA,NA,CB
Euryale ferox,ÜÍÊµ,NA,Nymphaeaceae,7,8,8,9,CB
Evodia daniellii,³ôÌ´ÎâİÇ,NA,Rutaceae,6,7,9,9,WD
Exochorda racemosa,°×¾éÃ·,NA,Rosaceae,5,5,6,8,WD
Exochorda serratifolia,³İÒ¶°×¾éÃ·,Exochorda,Rosaceae,5,6,7,9,WD
Fagopyrum tataricum,¿àÜñÂó,NA,Polygonaceae,5,9,6,10,CB
Fallopia dentatoalata,³İ³áŞ¤,NA,Polygonaceae,6,9,7,10,CB
Fallopia dumetorum,ÀéŞ¤,Fallopia,Polygonaceae,6,8,8,9,CB
Fallopia multiflora var. ciliinervis,Ã«ÂöŞ¤,NA,Polygonaceae,6,9,7,10,CB
Ferula bungeana,Ó²°¢Îº,Ferula,Apiaceae,5,7,8,9,CB
Festuca dahurica,´ïÎÚÀïÑòÃ©,Festuca,Poaceae,6,7,6,7,CB
Festuca extremiorientalis,Ô¶¶«ÑòÃ©,Festuca,Poaceae,6,7,6,7,CB
Filifolium sibiricum,ÏßÒ¶¾Õ,Filifolium,Asteraceae,6,9,6,9,CB
Filipendula glaberrima,éÊÒ¶ÎÃ×Ó²İ,NA,Rosaceae,6,8,6,8,CB
Filipendula palmata,ÎÃ×Ó²İ,NA,Rosaceae,7,9,7,9,CB
Filipendula palmata var. glabra,¹âÒ¶ÎÃ×Ó²İ,NA,Rosaceae,7,9,7,9,CB
Filipendula purpurea,éÊÒ¶ÎÃ×Ó²İ,Filipendula,Rosaceae,6,7,7,8,CB
Fimbristylis dichotoma,Á½ÆçÆ®·÷²İ,Fimbristylis,Cyperaceae,7,10,7,10,CB
Fimbristylis dichotoma f. depauperata,°«Á½ÆçÆ®·÷²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Fimbristylis longispica,³¤ËëÆ®·÷²İ,Fimbristylis,Cyperaceae,8,9,8,9,CB
Fimbristylis stauntoni,ÑÌÌ¨Æ®·÷²İ,Fimbristylis,Cyperaceae,7,10,7,10,CB
Fimbristylis subbispicata,Ë«ËëÆ®·÷²İ,NA,Cyperaceae,6,10,6,10,CB
Flueggea suffruticosa,Ò»Ò¶Èc,Flueggea,Euphorbiaceae,3,8,6,11,WD
Fontanesia phillyreoides subsp. fortunei,Ñ©Áø,NA,Oleaceae,NA,NA,NA,NA,WD
Forsythia mandschurica,¶«±±Á¬ÇÌ,NA,Oleaceae,5,5,9,9,WD
Forsythia suspensa,Á¬ÇÌ,NA,Oleaceae,5,5,10,10,WD
Fragaria orientalis,¶«·½²İİ®,Fragaria,Rosaceae,5,7,7,9,CB
Fraxinus bungeana,Ğ¡Ò¶—q,Fraxinus,Oleaceae,5,5,9,10,WD
Fraxinus chinensis,°×À¯Ê÷,Fraxinus,Oleaceae,4,5,7,9,WD
Fraxinus chinensis subsp. rhynchophylla,»¨ÇúÁø,NA,Oleaceae,4,5,9,10,WD
Fraxinus mandshurica,Ë®ÇúÁø,NA,Oleaceae,5,5,9,10,WD
Fritillaria maximowiczii,ÂÖÒ¶±´Ä¸,Fritillaria,Liliaceae,6,6,NA,NA,CB
Fritillaria ussuriensis,Æ½±´Ä¸,NA,Liliaceae,5,5,6,6,CB
Gagea nakaiana,¶¥±ù»¨,NA,Liliaceae,3,4,3,4,CB
Galatella dahurica,ĞË°²ÈéİÒ,Galatella,Asteraceae,7,9,NA,NA,CB
Galeopsis bifida,÷ø°ê»¨,Galeopsis,Lamiaceae,7,9,9,9,CB
Galium aparine var. tenerum,ÖíÑêÑê,NA,Rubiaceae,NA,NA,NA,NA,CB
Galium boreale,±±·½À­À­ÌÙ,NA,Rubiaceae,6,8,8,9,CB
Galium boreale var. ciliatum,Ó²Ã«À­À­ÌÙ,NA,Rubiaceae,6,9,7,10,CB
Galium bungei,ËÄÒ¶È„,Galium,Rubiaceae,6,6,7,7,CB
Galium davuricum var. manshuricum,¶«±±ÖíÑêÑê,NA,Rubiaceae,NA,NA,NA,NA,CB
Galium davuricum var. tokyoense,¶ÛÒ¶ÖíÑêÑê,NA,Rubiaceae,NA,NA,NA,NA,CB
Galium kinuta,ÏÔÂöÀ­À­ÌÙ,Galium,Rubiaceae,6,7,8,9,CB
Galium linearifolium,ÏßÒ¶À­À­ÌÙ,Galium,Rubiaceae,7,7,8,8,CB
Galium maximowiczii,ÒìÒ¶ÂÖ²İ,Galium,Rubiaceae,6,7,7,10,CB
Galium platygalium,ÂÑÒ¶ÂÖ²İ,Galium,Rubiaceae,7,9,7,9,CB
Galium pseudoasprellum,É½ÖíÑêÑê,Galium,Rubiaceae,7,8,7,8,CB
Galium verum var. asiaticum,³¤Ò¶Åî×Ó²Ë,NA,Rubiaceae,6,8,6,8,CB
Galium verum var. leiophyllum,µ­»ÆÅî×Ó²Ë,NA,Rubiaceae,6,7,NA,NA,CB
Galium verum var. trachycarpum,Ã«¹ûÅî×Ó²Ë,NA,Rubiaceae,6,9,6,9,CB
Gastrodia elata,ÌìÂé,NA,Orchidaceae,6,7,8,9,CB
Gentiana algida,¸ßÉ½Áúµ¨,Gentiana,Gentianaceae,8,8,9,9,CB
Gentiana dahurica,´ïÎÚÀïÇØÜ´,Gentiana,Gentianaceae,7,8,9,9,CB
Gentiana macrophylla,ÇØÜ´,NA,Gentianaceae,7,8,9,9,CB
Gentiana manshurica,ÌõÒ¶Áúµ¨,Gentiana,Gentianaceae,9,9,8,11,CB
Gentiana pseudoaquatica,¼ÙË®ÉúÁúµ¨,NA,Gentianaceae,6,6,7,7,CB
Gentiana scabra,Áúµ¨,Gentiana,Gentianaceae,9,10,10,10,CB
Gentiana scabrida,ÓñÉ½Áúµ¨,Gentiana,Gentianaceae,7,10,7,10,CB
Gentiana squarrosa,ÁÛÒ¶Áúµ¨,Gentiana,Gentianaceae,4,6,7,8,CB
Gentiana thunbergii,´ÔÉúÁúµ¨,NA,Gentianaceae,5,5,6,6,CB
Gentiana triflora,Èı»¨Áúµ¨,NA,Gentianaceae,8,9,8,9,CB
Gentiana uchiyamae,³¯ÏÊÁúµ¨,NA,Gentianaceae,8,9,8,9,CB
Gentiana yokusai,»ÒÂÌÁúµ¨,Gentiana,Gentianaceae,3,9,3,9,CB
Gentiana zollingeri,±ÊÁúµ¨,Gentiana,Gentianaceae,4,5,4,6,CB
Gentianopsis barbata,±âÀÙ,Gentianopsis,Gentianaceae,8,8,9,10,CB
Geranium dahuricum,´Ö¸ùÀÏğÙ²İ,Geranium,Geraniaceae,7,8,8,9,CB
Geranium erianthum,¶«±±ÀÏğÙ²İ,Geranium,Geraniaceae,7,8,8,9,CB
Geranium koreanum,³¯ÏÊÀÏğÙ²İ,Geranium,Geraniaceae,7,8,8,9,CB
Geranium krameri,Í»½ÚÀÏğÙ²İ,Geranium,Geraniaceae,7,8,8,9,CB
Geranium maximowiczii,ĞË°²ÀÏğÙ²İ,Geranium,Geraniaceae,7,8,8,9,CB
Geranium platyanthum,Ã«ÈïÀÏğÙ²İ,Geranium,Geraniaceae,6,7,8,9,CB
Geranium sibiricum,ÊóÕÆÀÏğÙ²İ,Geranium,Geraniaceae,7,10,7,10,CB
Geranium soboliferum,ÏßÁÑÀÏğÙ²İ,Geranium,Geraniaceae,7,8,8,9,CB
Geranium wilfordii,ÀÏğÙ²İ,Geranium,Geraniaceae,7,10,7,10,CB
Gerbera anandria,´ó¶¡²İ,NA,Asteraceae,NA,NA,NA,NA,CB
Geum aleppicum,Â·±ßÇà,Geum,Rosaceae,6,9,7,9,CB
Girardinia diversifolia subsp. suborbiculata,Ğ«×Ó²İ,NA,Urticaceae,7,9,9,11,CB
Glaux maritima,º£Èé²İ,NA,Primulaceae,6,6,7,8,CB
Glechoma longituba,»îÑªµ¤,NA,Lamiaceae,4,5,5,6,CB
Gleditsia japonica,É½Ôí¼Ô,NA,Fabaceae,6,7,9,10,WD
Gleditsia microphylla,Ò°Ôí¼Ô,Gleditsia,Fabaceae,6,7,7,10,WD
Glehnia littoralis,Éºº÷²Ë,NA,Apiaceae,6,7,7,8,CB
Glyceria leptolepis,¼ÙÊó¸¾²İ,Glyceria,Poaceae,6,9,6,9,CB
Glyceria spiculosa,ÏÁÒ¶ÌğÃ©,Glyceria,Poaceae,7,8,7,8,CB
Glyceria triflora,¶«±±ÌğÃ©,NA,Poaceae,7,8,7,8,CB
Glycine max,´ó¶¹,Glycine,Fabaceae,6,7,7,8,CB
Glycine soja,Ò°´ó¶¹,NA,Fabaceae,7,8,8,10,CB
Glycyrrhiza pallidiflora,´Ì¹û¸Ê²İ,NA,Fabaceae,7,8,8,9,CB
Glycyrrhiza uralensis,¸Ê²İ,NA,Fabaceae,6,7,7,8,CB
Gnaphalium baicalense,±´¼Ó¶ûÊóôğ²İ,Gnaphalium,Asteraceae,7,8,8,9,CB
Gnaphalium mandshuricum,¶«±±Êóôğ²İ,Gnaphalium,Asteraceae,6,8,6,8,CB
Gnaphalium tranzschelii,ÎÂÉúÊóôğ²İ,Gnaphalium,Asteraceae,7,9,9,10,CB
Goodyera repens,Ğ¡°ßÒ¶À¼,Goodyera,Orchidaceae,7,8,9,9,CB
Gratiola japonica,Ë®°Ë½Ç,Gratiola,Scrophulariaceae,5,7,5,7,CB
Grewia biloba,±âµ£¸Ë,Grewia,Tiliaceae,5,7,NA,NA,WD
Grewia biloba var. parviflora,Ğ¡»¨±âµ£¸Ë,NA,Tiliaceae,NA,NA,NA,NA,WD
Gueldenstaedtia verna,ÉÙ»¨Ã×¿Ú´ü,Gueldenstaedtia,Fabaceae,4,5,5,7,CB
Gymnadenia conopsea,ÊÖ²Î,Gymnadenia,Orchidaceae,7,8,8,9,CB
Gypsophila davurica,²İÔ­Ê¯Í·»¨,Gypsophila,Caryophyllaceae,6,9,7,10,CB
Gypsophila oldhamiana,³¤ÈïÊ¯Í·»¨,NA,Caryophyllaceae,7,10,8,10,CB
Gypsophila pacifica,´óÒ¶Ê¯Í·»¨,NA,Caryophyllaceae,7,3,8,10,CB
Habenaria schindleri,Ê®×ÖÀ¼,NA,Orchidaceae,7,10,NA,NA,CB
Halenia corniculata,»¨Ãª,Halenia,Gentianaceae,7,8,8,9,CB
Halenia elliptica,ÍÖÔ²Ò¶»¨Ãª,Halenia,Gentianaceae,7,9,7,9,CB
Halerpestes ruthenica,³¤Ò¶¼îÃ«İ¢,Halerpestes,Ranunculaceae,5,8,5,8,CB
Halerpestes sarmentosa,¼îÃ«İ¢,NA,Ranunculaceae,NA,NA,NA,NA,CB
Halerpestes sarmentosa var. multisecta,ÁÑÒ¶¼îÃ«İ¢,NA,Ranunculaceae,6,6,NA,NA,CB
Hedysarum fruticosum,É½ÖñÑÒ»ÆêÈ,NA,Fabaceae,NA,NA,NA,NA,WD
Hedysarum fruticosum var. lignosum,Ä¾ÑÒ»ÆêÈ,NA,Fabaceae,NA,NA,NA,NA,WD
Hedysarum fruticosum var. mongolicum,ÃÉ¹ÅÑÒ»ÆêÈ,NA,Fabaceae,NA,NA,NA,NA,WD
Hemarthria altissima,´óÅ£±Ş²İ,NA,Poaceae,NA,NA,NA,NA,CB
Hemarthria sibirica,Å£±Ş²İ,NA,Poaceae,6,7,6,7,CB
Hemerocallis citrina,»Æ»¨²Ë,NA,Liliaceae,5,8,NA,NA,CB
Hemerocallis lilioasphodelus,±±»Æ»¨²Ë,NA,Liliaceae,6,8,NA,NA,CB
Hemerocallis middendorffii,´ó°úİæ²İ,NA,Liliaceae,5,6,NA,NA,CB
Hemerocallis minor,Ğ¡»Æ»¨²Ë,NA,Liliaceae,6,8,7,9,CB
Hemiptelea davidii,´ÌÓÜ,NA,Ulmaceae,5,5,9,10,WD
Hepatica nobilis var. asiatica,â¯¶úÏ¸ĞÁ,NA,Ranunculaceae,4,5,NA,NA,CB
Heracleum moellendorffii,¶ÌÃ«¶À»î,Heracleum,Apiaceae,7,8,8,9,CB
Heracleum moellendorffii var. paucivittatum,ÉÙ¹Ü¶ÌÃ«¶À»î,NA,Apiaceae,NA,NA,NA,NA,CB
Heracleum moellendorffii var. subbipinnatum,ÏÁÒ¶¶ÌÃ«¶À»î,NA,Apiaceae,NA,NA,NA,NA,CB
Herminium monorchis,½ÇÅÌÀ¼,NA,Orchidaceae,6,7,8,9,CB
Hesperis sibirica,±±Ïã»¨½æ,NA,Brassicaceae,5,9,5,9,CB
Heteropappus altaicus,°¢¶ûÌ©¹·ÍŞ»¨,Heteropappus,Asteraceae,7,9,9,10,CB
Heteropappus altaicus var. millefolius,°¢¶ûÌ©¹·ÍŞ»¨Ç§Ò¶±äÖÖ,NA,Asteraceae,NA,NA,NA,NA,CB
Heteropappus hispidus,¹·ÍŞ»¨,NA,Asteraceae,8,9,9,10,CB
Heteropappus meyendorffii,É°¹·ÍŞ»¨,NA,Asteraceae,NA,NA,NA,NA,CB
Heteropappus tataricus,÷²÷°¹·ÍŞ»¨,NA,Asteraceae,NA,NA,NA,NA,CB
Hibiscus cannabinus,´óÂééÈ,NA,Malvaceae,9,11,NA,NA,CB
