scientific name,Chinese name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Itea macrophylla,´óÒ¶Êó´Ì,Saxifragaceae,4,6,4,6,WD
Ixeridium chinense,ÖĞ»ªĞ¡¿àİ¤,Asteraceae,1,10,1,10,CB
Ixeridium gracile,Ï¸Ò¶Ğ¡¿àİ¤,Asteraceae,3,10,3,10,CB
Ixeridium gramineum,Õ­Ò¶Ğ¡¿àİ¤,Asteraceae,3,9,3,9,CB
Ixeridium laevigatum,ºÖ¹ÚĞ¡¿àİ¤,Asteraceae,3,8,3,8,CB
Ixeris japonica,¼ôµ¶¹É,Asteraceae,3,5,3,5,CB
Ixonanthes reticulata,Õ³Ä¾,Erythroxylaceae,8,1,6,10,WD
Ixora cephalophora,ÍÅ»¨Áú´¬»¨,Rubiaceae,5,5,9,9,WD
Ixora chinensis,Áú´¬»¨,Rubiaceae,5,7,NA,NA,WD
Ixora effusa,É¢»¨Áú´¬»¨,Rubiaceae,4,5,NA,NA,WD
Ixora finlaysoniana,±¡Ò¶Áú´¬»¨,Rubiaceae,4,10,NA,NA,WD
Ixora fulgens,ÁÁÒ¶Áú´¬»¨,Rubiaceae,7,9,NA,NA,WD
Ixora hainanensis,º£ÄÏÁú´¬»¨,Rubiaceae,5,11,NA,NA,WD
Ixora henryi,°×»¨Áú´¬»¨,Rubiaceae,1,12,NA,NA,WD
Ixora nienkui,ÅİÒ¶Áú´¬»¨,Rubiaceae,7,9,NA,NA,WD
Jacquemontia paniculata,Ğ¡Ç£Å£,Convolvulaceae,NA,NA,NA,NA,CB
Jacquemontia paniculata var. lanceolata,ÅûÕëÒ¶Ğ¡Ç£Å£,Convolvulaceae,NA,NA,NA,NA,CB
Jasminum cinnamomifolium,ÕÁÒ¶ËØÜ°,Oleaceae,3,9,5,11,WD
Jasminum craibianum,Ã«İàËØÜ°,Oleaceae,7,7,NA,NA,WD
Jasminum elongatum,Å¤¶ÇÌÙ,Oleaceae,4,12,8,3,WD
Jasminum lanceolarium,ÇåÏãÌÙ,Oleaceae,6,10,9,4,WD
Jasminum laurifolium var. brachylobum,¹ğÒ¶ËØÜ°,Oleaceae,5,5,8,12,WD
Jasminum microcalyx,Ğ¡İàËØÜ°,Oleaceae,9,11,12,2,WD
Jasminum nervosum,ÇàÌÙ×Ğ,Oleaceae,3,7,4,10,WD
Jasminum pentaneurum,ºñÒ¶ËØÜ°,Oleaceae,12,2,4,4,WD
Jasminum pierreanum,ĞÄÒ¶ËØÜ°,Oleaceae,8,9,12,2,WD
Jasminum rehderianum,°×Æ¤ËØÜ°,Oleaceae,8,9,9,3,WD
Jasminum seguinii,ÁÁÒ¶ËØÜ°,Oleaceae,8,9,10,4,WD
Juncus alatus,³á¾¥µÆĞÄ²İ,Juncaceae,4,7,5,10,CB
Juncus effusus,µÆĞÄ²İ,Juncaceae,4,7,6,9,CB
Juncus prismatocarpus,óÇÊ¯İÅ,Juncaceae,3,6,7,8,CB
Justicia alboviridis,´óÒ¶Èü¾ô´²,Acanthaceae,6,11,NA,NA,CB
Justicia championi,Ô²°ú¶Å¸ùÌÙ,Acanthaceae,NA,NA,NA,NA,CB
Justicia demissa,°«¾ô´²,Acanthaceae,NA,NA,NA,NA,CB
Justicia diffusa,Ğ¡Ò¶É¢¾ô´²,Acanthaceae,3,5,NA,NA,CB
Justicia hainanensis,º£ÄÏÈü¾ô´²,Acanthaceae,7,11,NA,NA,CB
Justicia loheri,ÏÁÒ¶Èü¾ô´²,Acanthaceae,NA,NA,NA,NA,WD
Justicia multinodis,°×½ÚÈü¾ô´²,Acanthaceae,NA,NA,NA,NA,WD
Justicia neolinearifolia,ÏßÒ¶¾ô´²,Acanthaceae,NA,NA,NA,NA,CB
Justicia quadrifaria,¶Å¸ùÌÙ,Acanthaceae,NA,NA,NA,NA,CB
Justicia vagabunda,Õë×Ó²İ,Acanthaceae,NA,NA,NA,NA,WD
Kadsura coccinea,ºÚÀÏ»¢,Schisandraceae,4,7,8,10,WD
Kadsura heteroclita,ÒìĞÎÄÏÎåÎ¶×Ó,Schisandraceae,5,8,8,12,WD
Kadsura oblongifolia,Àä·¹ÌÙ,Schisandraceae,7,9,10,11,WD
Kandelia candel,ÇïÇÑÊ÷,Rhizophoraceae,1,12,1,12,WD
Kingidium deliciosum,´ó¼âÄÒÀ¼,Orchidaceae,7,7,NA,NA,CB
Kleinhovia hospita,ğÑğ³Âé,Sterculiaceae,3,7,NA,NA,WD
Knoxia corymbosa,ºìÑ¿´óêª,Rubiaceae,7,8,10,11,CB
Koilodepas hainanense,°×²èÊ÷,Euphorbiaceae,3,4,4,5,WD
Kopsia arborea,ÈïÄ¾,Apocynaceae,4,9,7,12,WD
Kopsia hainanensis,º£ÄÏÈïÄ¾,Apocynaceae,4,12,2,3,WD
Korthalsella japonica,Àõ¼ÄÉú,Viscaceae,1,12,1,12,WD
Kyllinga brevifolia,¶ÌÒ¶Ë®òÚò¼,Cyperaceae,5,9,5,9,CB
Kyllinga melanosperma,ºÚ×ÑË®òÚò¼,Cyperaceae,5,9,5,9,CB
Kyllinga nemoralis,µ¥ËëË®òÚò¼,Cyperaceae,5,8,5,8,CB
Kyllinga triceps,ÈıÍ·Ë®òÚò¼,Cyperaceae,NA,NA,NA,NA,CB
Lagerstroemia balansae,Ã«İà×ÏŞ±,Lythraceae,5,7,10,11,WD
Lagerstroemia indica,×ÏŞ±,Lythraceae,6,9,9,12,WD
Laggera alata,ÁùÀâ¾Õ,Asteraceae,10,2,NA,NA,CB
Lannea coromandelica,ºñÆ¤Ê÷,Anacardiaceae,NA,NA,NA,NA,WD
Lasia spinosa,´ÌÓó,Araceae,9,9,NA,NA,CB
Lasianthus attenuatus,Ğ±»ù´ÖÒ¶Ä¾,Rubiaceae,9,11,NA,NA,WD
Lasianthus biermannii,¹£»¨´ÖÒ¶Ä¾,Rubiaceae,4,12,9,10,WD
Lasianthus biermannii subsp. crassipedunculatus,´Ö¹£´ÖÒ¶Ä¾ÑÇÖÖ,Rubiaceae,NA,NA,NA,NA,WD
Lasianthus calycinus,»Æ¹û´ÖÒ¶Ä¾,Rubiaceae,5,5,9,10,WD
Lasianthus chevalieri,³¤İà´ÖÒ¶Ä¾,Rubiaceae,3,6,NA,NA,WD
Lasianthus chinensis,´ÖÒ¶Ä¾,Rubiaceae,5,5,9,10,WD
Lasianthus curtisii,¹ã¶«´ÖÒ¶Ä¾,Rubiaceae,3,8,9,2,WD
Lasianthus fordii,ÂŞ¸¡´ÖÒ¶Ä¾,Rubiaceae,3,5,9,11,WD
Lasianthus formosensis,Ì¨Íå´ÖÒ¶Ä¾,Rubiaceae,7,10,9,2,WD
Lasianthus hirsutus,¼¦ÊºÊ÷,Rubiaceae,7,12,11,2,WD
Lasianthus hispidulus,ÎÄÉ½´ÖÒ¶Ä¾,Rubiaceae,NA,NA,NA,NA,WD
Lasianthus lancifolius,ÃÀÂö´ÖÒ¶Ä¾,Rubiaceae,8,10,4,5,WD
Lasianthus lucidus,ÎŞ°ú´ÖÒ¶Ä¾,Rubiaceae,9,9,NA,NA,WD
Lasianthus micranthus,Ğ¡»¨´ÖÒ¶Ä¾,Rubiaceae,8,10,4,5,WD
Lasianthus obscurus,ÁÖÉú´ÖÒ¶Ä¾,Rubiaceae,9,9,NA,NA,WD
Lasianthus rhinocerotis subsp. pedunculatus,»ÆÃ«´ÖÒ¶Ä¾ÑÇÖÖ,Rubiaceae,NA,NA,NA,NA,WD
Lasianthus sikkimensis,Îı½ğ´ÖÒ¶Ä¾,Rubiaceae,10,12,7,8,WD
Lasianthus trichophlebus,ÖÓİà´ÖÒ¶Ä¾,Rubiaceae,4,5,9,10,WD
Lasianthus trichophlebus var. latifolius,ÆÜÀ¼ÖÓİà´ÖÒ¶Ä¾±äÖÖ,Rubiaceae,NA,NA,NA,NA,WD
Lasianthus verticillatus,Ğ±Âö´ÖÒ¶Ä¾,Rubiaceae,9,11,NA,NA,WD
Lasiococca comberi var. pseudoverticillata,ÂÖÒ¶êª,Euphorbiaceae,4,6,6,7,WD
Launaea acaulis,¹â¾¥Ë¨¹û¾Õ,Asteraceae,4,5,4,5,CB
Launaea sarmentosa,ÙëÖ¦Ë¨¹û¾Õ,Asteraceae,6,12,6,12,CB
Laurocerasus fordiana,»ªÄÏ¹ğÓ£,Rosaceae,3,4,5,8,WD
Laurocerasus phaeosticta,ÏÙÒ¶¹ğÓ£,Rosaceae,4,5,7,10,WD
Laurocerasus phaeosticta f. ciliospinosa,Èñ³İ¹ğÓ£,Rosaceae,NA,NA,NA,NA,WD
Leea indica,»ğÍ²Ê÷,Leeaceae,5,8,7,12,WD
Leea longifolia,Õ­Ò¶»ğÍ²Ê÷,Leeaceae,NA,NA,10,2,WD
Leersia hexandra,ÀîÊÏºÌ,Poaceae,6,8,6,8,CB
Leersia oryzoides,ÈØ²İ,Poaceae,6,9,6,9,CB
Lemna minor,¸¡Æ¼,Lemnaceae,NA,NA,NA,NA,CB
Leonurus japonicus,ÒæÄ¸²İ,Lamiaceae,6,9,NA,NA,CB
Leonurus pseudomacranthus,öÉ²Ë,Lamiaceae,8,9,9,10,CB
Leonurus sibiricus,Ï¸Ò¶ÒæÄ¸²İ,Lamiaceae,7,9,9,9,CB
Lepidagathis fasciculata,³İÒ¶ÁÛ»¨²İ,Acanthaceae,NA,NA,NA,NA,CB
Lepidagathis hainanensis,º£ÄÏÁÛ»¨²İ,Acanthaceae,3,5,NA,NA,CB
Lepidagathis incurva,ÁÛ»¨²İ,Acanthaceae,2,3,NA,NA,CB
Lepidosperma chinense,ÁÛ×ÑÉ¯,Cyperaceae,7,12,7,12,CB
Lepironia articulata,Ê¯ÁúÛ»,Cyperaceae,2,6,2,6,CB
Lepisanthes hainanensis,ÁÛ»¨Ä¾,Sapindaceae,NA,NA,6,7,WD
Lepisanthes oligophylla,ÈüÄ¾»¼,Sapindaceae,3,5,6,8,WD
Lepisanthes rubiginosa,³à²Å,Sapindaceae,3,4,NA,NA,WD
Lepisanthes unilocularis,×¦¶úÄ¾,Sapindaceae,NA,NA,NA,NA,WD
Lepistemon binectariferum,ÁÛÈïÌÙ,Convolvulaceae,NA,NA,NA,NA,CB
Lepistemon lobatum,ÁÑÒ¶ÁÛÈïÌÙ,Convolvulaceae,NA,NA,NA,NA,CB
Leptochloa chinensis,Ç§½ğ×Ó,Poaceae,8,11,8,11,CB
Leptochloa fusca,Ë«ïû²İ,Poaceae,6,9,6,9,CB
Leptomischus parviflorus,Ğ¡»¨±¨´ºÜç,Rubiaceae,7,8,NA,NA,CB
Leptopus australis,±¡Ò¶È¸ÉàÄ¾,Euphorbiaceae,1,10,1,10,CB
Leptopus hainanensis,º£ÄÏÈ¸ÉàÄ¾,Euphorbiaceae,1,12,1,12,WD
Leptostachya wallichii,ÏËËë¾ô´²,Acanthaceae,NA,NA,NA,NA,CB
Lepturus repens,Ï¸Ëë²İ,Poaceae,NA,NA,NA,NA,CB
Leucas aspera,·ä³²²İ,Lamiaceae,1,12,1,12,CB
Leucas chinensis,±õº£°×ÈŞ²İ,Lamiaceae,11,12,12,12,WD
Leucas mollissima,°×ÈŞ²İ,Lamiaceae,5,10,NA,NA,CB
Leucas mollissima var. chinensis,°×ÈŞ²İÊèÃ«±äÖÖ,Lamiaceae,NA,NA,NA,NA,CB
Leucas zeylanica,ç§Ãæ²İ,Lamiaceae,1,12,1,12,CB
Licuala fordiana,Ëë»¨Öáéµ,Arecaceae,6,8,NA,NA,WD
Licuala hainanensis,º£ÄÏÖáéµ,Arecaceae,NA,NA,NA,NA,WD
Licuala spinosa,´ÌÖáéµ,Arecaceae,3,4,NA,NA,WD
Ligustrum lianum,»ªÅ®Õê,Oleaceae,4,6,7,4,WD
Ligustrum lucidum,Å®Õê,Oleaceae,5,7,7,5,WD
Ligustrum retusum,°¼Ò¶Å®Õê,Oleaceae,7,8,12,4,WD
Ligustrum sinense,Ğ¡À¯,Oleaceae,3,6,9,12,WD
Ligustrum tenuipes,Ï¸¹£Å®Õê,Oleaceae,5,5,11,11,WD
Limnophila aromatica,×ÏËÕ²İ,Scrophulariaceae,3,9,3,9,CB
Limnophila chinensis,ÖĞ»ªÊ¯ÁúÎ²,Scrophulariaceae,10,5,10,5,CB
Limnophila connata,±§¾¥Ê¯ÁúÎ²,Scrophulariaceae,9,11,9,11,CB
Limnophila indica,ÓĞ¹£Ê¯ÁúÎ²,Scrophulariaceae,3,11,3,11,CB
Limnophila repens,ÙéÙëÊ¯ÁúÎ²,Scrophulariaceae,11,5,11,5,CB
Limnophila rugosa,´óÒ¶Ê¯ÁúÎ²,Scrophulariaceae,8,11,8,11,CB
Limnophila sessiliflora,Ê¯ÁúÎ²,Scrophulariaceae,7,1,7,1,CB
Limonium sinense,²¹Ñª²İ,Plumbaginaceae,4,12,NA,NA,CB
Lindera aggregata,ÎÚÒ©,Lauraceae,3,4,5,11,WD
Lindera aggregata var. playfairii,Ğ¡Ò¶ÎÚÒ©,Lauraceae,NA,NA,NA,NA,WD
Lindera chunii,¶¦ºşµöÕÁ,Lauraceae,2,3,8,9,WD
Lindera communis,ÏãÒ¶Ê÷,Lauraceae,3,4,9,10,WD
Lindera kwangtungensis,¹ã¶«É½ºú½·,Lauraceae,10,3,8,8,WD
Lindera metcalfiana,µáÔÁÉ½ºú½·,Lauraceae,3,5,6,10,WD
Lindera metcalfiana var. dictyophylla,ÍøÒ¶É½ºú½·,Lauraceae,NA,NA,NA,NA,WD
Lindera nacusua,ÈŞÃ«É½ºú½·,Lauraceae,8,10,5,7,WD
Lindera robusta,º£ÄÏÉ½ºú½·,Lauraceae,NA,NA,NA,NA,WD
Lindera tonkinensis,¼Ù¹ğµöÕÁ,Lauraceae,10,3,5,8,WD
Lindernia anagallis,³¤İôÄ¸²İ,Scrophulariaceae,4,9,6,11,CB
Lindernia antipoda,Äà»¨Ä¸²İ,Scrophulariaceae,3,11,3,11,CB
Lindernia ciliata,´Ì³İÄà»¨²İ,Scrophulariaceae,6,2,6,2,CB
Lindernia crustacea,Ä¸²İ,Scrophulariaceae,1,12,1,12,CB
Lindernia cyrtotricha,ÇúÃ«Ä¸²İ,Scrophulariaceae,NA,NA,NA,NA,CB
Lindernia hyssopoides,¼â¹ûÄ¸²İ,Scrophulariaceae,NA,NA,NA,NA,CB
Lindernia megaphylla,´óÒ¶Ä¸²İ,Scrophulariaceae,2,3,2,3,CB
Lindernia micrantha,ÏÁÒ¶Ä¸²İ,Scrophulariaceae,5,10,7,11,CB
Lindernia mollis,ºì¹ÇÄ¸²İ,Scrophulariaceae,7,10,9,11,CB
Lindernia oblonga,ÀâİàÄ¸²İ,Scrophulariaceae,5,7,8,10,CB
Lindernia pusilla,Ï¸¾¥Ä¸²İ,Scrophulariaceae,5,9,9,11,CB
Lindernia ruellioides,ºµÌï²İ,Scrophulariaceae,6,9,7,11,CB
Lindernia viscosa,ğ¤Ã«Ä¸²İ,Scrophulariaceae,5,8,9,11,CB
Liparis balansae,Ô²´½Ñò¶úËâ,Orchidaceae,9,11,NA,NA,CB
Liparis barbata,Ğë´½Ñò¶úËâ,Orchidaceae,7,7,NA,NA,CB
Liparis bautingensis,±£Í¤Ñò¶úËâ,Orchidaceae,11,12,1,4,CB
Liparis bootanensis,Á­³áÑò¶úËâ,Orchidaceae,8,10,3,5,CB
Liparis cespitosa,´ÔÉúÑò¶úËâ,Orchidaceae,6,10,10,11,CB
Liparis delicatula,Ğ¡ÇÉÑò¶úËâ,Orchidaceae,10,2,3,3,CB
Liparis distans,´ó»¨Ñò¶úËâ,Orchidaceae,10,10,1,1,CB
Liparis ferruginea,ĞâÉ«Ñò¶úËâ,Orchidaceae,5,6,8,8,CB
Liparis fissilabris,ÁÑ´½Ñò¶úËâ,Orchidaceae,5,6,8,8,CB
Liparis inaperta,³¤°úÑò¶úËâ,Orchidaceae,9,10,5,6,CB
Liparis latifolia,¿íÒ¶Ñò¶úËâ,Orchidaceae,2,3,NA,NA,CB
Liparis luteola,»Æ»¨Ñò¶úËâ,Orchidaceae,12,2,12,2,CB
Liparis nigra,×Ï»¨Ñò¶úËâ,Orchidaceae,2,5,11,11,CB
Liparis odorata,Ïã»¨Ñò¶úËâ,Orchidaceae,2,7,10,10,CB
Liparis stricklandiana,ÉÈ´½Ñò¶ú±ê,Orchidaceae,10,1,4,5,CB
Liparis viridiflora,³¤¾¥Ñò¶úËâ,Orchidaceae,10,11,NA,NA,CB
Lipocarpha chinensis,»ªºş¹Ï²İ,Cyperaceae,6,10,6,10,CB
Lipocarpha microcephala,ºş¹Ï²İ,Cyperaceae,NA,NA,NA,NA,CB
Lipocarpha tenera,Ï¸¸Ñºş¹Ï²İ,Cyperaceae,10,12,10,12,CB
Liquidambar formosana,·ãÏãÊ÷,Hamamelidaceae,1,4,NA,NA,WD
Lirianthe albosericea,¾îÃ«Ä¾À¼,Magnoliaceae,4,5,8,9,WD
Lirianthe championii,Ïã¸ÛÄ¾À¼,Magnoliaceae,6,8,NA,NA,WD
Lirianthe coco,Ò¹ÏãÄ¾À¼,Magnoliaceae,4,5,NA,NA,WD
Lirianthe fistulosa,ÏÔÂöÄ¾À¼,Magnoliaceae,NA,NA,NA,NA,WD
Liriope graminifolia,ºÌÒ¶É½Âó¶¬,Liliaceae,6,8,9,11,CB
Liriope spicata,É½Âó¶¬,Liliaceae,5,7,8,10,CB
Litchi chinensis,ÀóÖ¦,Sapindaceae,3,4,7,8,WD
Lithocarpus amygdalifolius,ĞÓÒ¶¿Â,Fagaceae,3,9,9,12,WD
Lithocarpus balansae,ºïÃæ¿Â,Fagaceae,4,5,9,11,WD
Lithocarpus bonnetii,Ã±¿Â,Fagaceae,5,6,7,8,WD
Lithocarpus brachystachyus,¶ÌËë¿Â,Fagaceae,8,10,8,12,WD
Lithocarpus brevicaudatus,ÁëÄÏ¿Â,Fagaceae,9,12,9,11,WD
Lithocarpus caudatilimbus,Î²Ò¶¿Â,Fagaceae,4,7,10,12,WD
Lithocarpus chiungchungensis,ÇíÖĞ¿Â,Fagaceae,7,7,10,11,WD
Lithocarpus corneus,ÑÌ¶·¿Â,Fagaceae,1,12,NA,NA,WD
Lithocarpus corneus var. hainanensis,º£ÄÏÑÌ¶·¿Â,Fagaceae,NA,NA,NA,NA,WD
Lithocarpus elaeagnifolius,ºúÍÇ×ÓÒ¶¿Â,Fagaceae,7,9,7,9,WD
Lithocarpus elmerrillii,ÍòÄş¿Â,Fagaceae,NA,NA,9,9,WD
Lithocarpus fenestratus,Äà×µ¿Â,Fagaceae,8,10,8,10,WD
Lithocarpus fenzelianus,ºì¿Â,Fagaceae,3,4,9,12,WD
Lithocarpus hancei,Ó²¿Ç¿Â,Fagaceae,3,5,10,2,WD
Lithocarpus handelianus,Áö¹û¿Â,Fagaceae,8,10,10,12,WD
Lithocarpus harlandii,¸Û¿Â,Fagaceae,5,6,9,10,WD
Lithocarpus howii,Àæ¹û¿Â,Fagaceae,5,5,7,8,WD
Lithocarpus irwinii,¹ãÄÏ¿Â,Fagaceae,4,5,10,11,WD
Lithocarpus iteaphyllus,Êó´ÌÒ¶¿Â,Fagaceae,4,5,7,10,WD
Lithocarpus konishii,ÓÍÒ¶¿Â,Fagaceae,4,8,7,10,WD
Lithocarpus litseifolius,Ä¾½ªÒ¶¿Â,Fagaceae,5,9,6,10,WD
Lithocarpus longipedicellatus,±ú¹û¿Â,Fagaceae,10,1,10,1,WD
Lithocarpus naiadarum,Ë®ÏÉ¿Â,Fagaceae,7,8,8,9,WD
Lithocarpus obovatilimbus,ÂÑÒ¶¿Â,Fagaceae,NA,NA,10,12,WD
Lithocarpus pseudovestitus,Ã«¹û¿Â,Fagaceae,NA,NA,NA,NA,WD
Lithocarpus silvicolarum,Àç°Ò¿Â,Fagaceae,4,6,10,10,WD
Lithocarpus skanianus,»¬Æ¤¿Â,Fagaceae,10,12,10,12,WD
Litosanthes biflora,Ê¯ºËÄ¾,Rubiaceae,9,2,NA,NA,WD
Litsea acutivena,¼âÂöÄ¾½ª×Ó,Lauraceae,6,8,12,2,WD
Litsea balansae,¼ÙÀ±×Ó,Lauraceae,4,5,6,7,WD
Litsea baviensis,´óİàÄ¾½ª×Ó,Lauraceae,5,6,2,3,WD
Litsea cubeba,É½¼¦½·,Lauraceae,2,3,7,8,WD
Litsea elongata,»Æµ¤Ä¾½ª×Ó,Lauraceae,5,11,2,6,WD
Litsea glutinosa,äıéÂÄ¾½ª×Ó,Lauraceae,5,6,6,7,WD
Litsea hunanensis,ºşÄÏÄ¾½ª×Ó,Lauraceae,NA,NA,4,5,WD
Litsea lancifolia,½£Ò¶Ä¾½ª×Ó,Lauraceae,7,7,7,8,WD
Litsea lancilimba,´ó¹ûÄ¾½ª×Ó,Lauraceae,6,6,11,12,WD
Litsea litseifolia,º£ÄÏÄ¾½ª×Ó,Lauraceae,5,9,NA,NA,WD
Litsea monopetala,¼ÙÊÁÄ¾½ª×Ó,Lauraceae,11,5,6,7,WD
Litsea pseudoelongata,ÖñÒ¶Ä¾½ª×Ó,Lauraceae,5,6,10,12,WD
Litsea rotundifolia,Ô²Ò¶±ªÆ¤ÕÁ,Lauraceae,8,9,9,11,WD
Litsea rotundifolia var. oblongifolia,±ªÆ¤ÕÁ,Lauraceae,NA,NA,NA,NA,WD
Litsea variabilis,»Æ´»Ä¾½ª×Ó,Lauraceae,5,11,9,5,WD
Litsea variabilis var. oblonga,Ã«»Æ´»Ä¾½ª×Ó,Lauraceae,NA,NA,NA,NA,WD
Litsea verticillata,ÂÖÒ¶Ä¾½ª×Ó,Lauraceae,4,11,11,1,WD
Litsea verticillifolia,ÇíÄÏÄ¾½ª×Ó,Lauraceae,NA,NA,NA,NA,WD
Livistona chinensis,ÆÑ¿û,Arecaceae,4,4,4,4,WD
Livistona jenkinsiana,ÃÀÀöÆÑ¿û,Arecaceae,10,10,10,10,WD
Lobelia alsinoides,¶Ì±ú°ë±ßÁ«,Campanulaceae,1,12,1,12,CB
Lobelia alsinoides subsp. hancei,¼Ù°ë±ßÁ«,Campanulaceae,4,9,4,9,CB
Lobelia angulata,Í­´¸Óñ´ø²İ,Campanulaceae,NA,NA,NA,NA,CB
Lobelia hainanensis,º£ÄÏ°ë±ßÁ«,Campanulaceae,NA,NA,NA,NA,CB
Lobelia zeylanica,ÂÑÒ¶°ë±ßÁ«,Campanulaceae,1,12,1,12,CB
Loeseneriella merrilliana,³á×ÓÌÙ,Hippocrateaceae,5,6,7,9,WD
Lonicera calcarata,³¤¾àÈÌ¶¬,Caprifoliaceae,5,5,6,7,WD
Lonicera calvescens,º£ÄÏÈÌ¶¬,Caprifoliaceae,NA,NA,NA,NA,WD
Lonicera confusa,»ªÄÏÈÌ¶¬,Caprifoliaceae,4,5,NA,NA,WD
Lonicera macrantha,´ó»¨ÈÌ¶¬,Caprifoliaceae,4,5,7,8,WD
Lonicera macrantha var. heterotricha,ÒìÃ«ÈÌ¶¬,Caprifoliaceae,NA,NA,NA,NA,WD
Lophatherum gracile,µ­ÖñÒ¶,Poaceae,6,10,6,10,CB
Ludisia discolor,ÑªÒ¶À¼,Orchidaceae,2,4,NA,NA,CB
Ludwigia adscendens,Ë®Áú,Onagraceae,5,8,8,11,CB
Ludwigia perennis,Ï¸»¨¶¡ÏãŞ¤,Onagraceae,4,6,7,8,CB
Luisia morsei,îÎ×Ó¹É,Orchidaceae,4,5,NA,NA,CB
Luisia ramosii,¿í°êîÎ×Ó¹É,Orchidaceae,4,6,NA,NA,CB
Lumnitzera littorea,ºìé­Àî,Combretaceae,5,5,6,8,WD
Lumnitzera racemosa,é­Àî,Combretaceae,12,3,12,3,WD
Luvunga scandens,ÈıÒ¶ÌÙéÙ,Rutaceae,3,4,10,12,WD
Lycianthes biflora,ºìË¿Ïß,Solanaceae,5,8,7,11,WD
Lycianthes lysimachioides var. caulorhiza,¾¥¸ùºìË¿Ïß,Solanaceae,NA,NA,NA,NA,CB
Lycianthes yunnanensis,µáºìË¿Ïß,Solanaceae,10,11,12,2,WD
Lycium chinense,èÛè½,Solanaceae,6,11,6,11,WD
Lygisma inflexum,Îö¹ÚÌÙ,Asclepiadaceae,7,10,9,1,WD
Lyonia ovalifolia,ÕäÖé»¨,Ericaceae,5,6,7,9,WD
Lyonia ovalifolia var. lanceolata,ÏÁÒ¶ÕäÖé»¨,Ericaceae,NA,NA,NA,NA,WD
Lyonia ovalifolia var. rubrovenia,ºìÂöÕäÖé»¨,Ericaceae,4,5,6,8,WD
Lysimachia decurrens,ÑÓÒ¶ÕäÖé²Ë,Primulaceae,4,5,6,7,CB
Lysimachia japonica,Ğ¡ÇÑ,Primulaceae,3,4,4,5,CB
Lysimachia navillei,Ä¾¾¥Ïã²İ,Primulaceae,6,7,9,10,CB
Lysimachia navillei var. hainanensis,º£ÄÏÄ¾¾¥Ïã²İ,Primulaceae,NA,NA,NA,NA,CB
Lysionotus pauciflorus,µõÊ¯ÜÄÌ¦,Gesneriaceae,7,10,NA,NA,WD
Macaranga andamanica,°²´ïÂüÑªÍ©,Euphorbiaceae,1,12,1,12,WD
Macaranga denticulata,ÖĞÆ½Ê÷,Euphorbiaceae,6,6,5,8,WD
Macaranga lowii,´Ì¹ûÑªÍ©,Euphorbiaceae,1,5,5,6,WD
Macaranga sampsonii,¶¦ºşÑªÍ©,Euphorbiaceae,5,6,7,8,WD
Machilus breviflora,¶ÌĞòÈóéª,Lauraceae,7,8,10,12,WD
Machilus chekiangensis,Õã½­Èóéª,Lauraceae,NA,NA,6,6,WD
Machilus chinensis,»ªÈóéª,Lauraceae,11,11,2,2,WD
Machilus cicatricosa,¿Ì½ÚÈóéª,Lauraceae,5,5,7,10,WD
Machilus dinganensis,°²¶¨Èóéª,Lauraceae,NA,NA,NA,NA,WD
Machilus foonchewii,Çí¹ğÈóéª,Lauraceae,10,10,10,12,WD
Machilus gamblei,»ÆĞÄÊ÷,Lauraceae,NA,NA,NA,NA,WD
Machilus grijsii,»ÆÈŞÈóéª,Lauraceae,3,3,4,4,WD
Machilus kwangtungensis,¹ã¶«Èóéª,Lauraceae,3,4,5,7,WD
Machilus lohuiensis,ÀÖ»áÈóéª,Lauraceae,8,9,8,9,WD
Machilus minkweiensis,Ãö¹ğÈóéª,Lauraceae,NA,NA,5,5,WD
Machilus monticola,¼â·åÈóéª,Lauraceae,10,10,12,12,WD
Machilus nakao,ÄÉéÂÈóéª,Lauraceae,7,10,11,4,WD
Machilus oculodracontis,ÁúÑÛÈóéª,Lauraceae,NA,NA,NA,NA,WD
Machilus parabreviflora,Èü¶Ì»¨Èóéª,Lauraceae,NA,NA,NA,NA,WD
Machilus pomifera,ÀæÈóéª,Lauraceae,7,9,9,2,WD
Machilus robusta,´Ö×³Èóéª,Lauraceae,1,4,4,6,WD
Machilus salicina,ÁøÒ¶Èóéª,Lauraceae,2,3,4,6,WD
Machilus thunbergii,ºìéª,Lauraceae,2,2,7,7,WD
Machilus velutina,ÈŞÃ«Èóéª,Lauraceae,10,12,2,3,WD
Machilus wangchiana,ĞÅÒËÈóéª,Lauraceae,NA,NA,NA,NA,WD
Maclura cochinchinensis,¹¹¼¬,Moraceae,4,5,6,7,WD
Macropanax decandrus,Ê®Èï´ó²Î,Araliaceae,1,2,4,5,WD
Macrosolen bibracteolatus,Ë«»¨ÇÊ»¨,Loranthaceae,11,12,12,4,WD
Macrosolen cochinchinensis,ÇÊ»¨,Loranthaceae,2,6,5,8,WD
Macrosolen tricolor,ÈıÉ«ÇÊ»¨,Loranthaceae,8,3,6,3,WD
Madhuca hainanensis,º£ÄÏ×Ï¾£Ä¾,Sapotaceae,6,9,9,11,WD
Madhuca pasquieri,×Ï¾£Ä¾,Sapotaceae,7,9,10,1,WD
